placa,timestamp,peaje_id,es_vi
HDC-219,2024-01-01 00:15:17,P04,0
HDC-219,2024-01-01 01:08:17,P05,0
KGJ-687,2024-01-01 01:37:27,P03,0
YBK-845,2024-01-01 01:41:10,P03,0
HDC-219,2024-01-01 01:43:17,P06,0
MMW-968,2024-01-01 01:49:19,P03,0
MBA-667,2024-01-01 01:59:03,P03,0
MFB-409,2024-01-01 02:06:25,P03,1
HDC-219,2024-01-01 02:24:17,P08,0
MMW-968,2024-01-01 02:24:19,P09,0
ZYP-552,2024-01-01 02:26:50,P03,0
YBK-845,2024-01-01 02:31:10,P09,0
VCV-363,2024-01-01 02:31:33,P03,0
KGJ-687,2024-01-01 02:36:27,P09,0
MBA-667,2024-01-01 03:00:03,P09,0
ZYP-552,2024-01-01 03:08:50,P09,0
MFB-409,2024-01-01 03:10:25,P09,1
YBK-845,2024-01-01 03:13:10,P10,0
MMW-968,2024-01-01 03:21:19,P10,0
VCV-363,2024-01-01 03:23:33,P09,0
KGJ-687,2024-01-01 03:32:27,P10,0
ZYP-552,2024-01-01 03:49:50,P10,0
MBA-667,2024-01-01 03:53:03,P10,0
VCV-363,2024-01-01 04:05:33,P10,0
MFB-409,2024-01-01 04:09:25,P10,1
YXP-616,2024-01-01 11:42:17,P01,0
YXP-616,2024-01-01 12:42:17,P02,0
YXP-616,2024-01-01 13:30:17,P03,0
YAU-049,2024-01-01 14:21:47,P07,0
YXP-616,2024-01-01 14:32:17,P07,0
YAU-049,2024-01-01 14:57:47,P08,0
UNE-670,2024-01-01 16:36:18,P07,0
UNE-670,2024-01-01 17:20:18,P08,0
UPU-152,2024-01-01 20:56:28,P01,0
UPU-152,2024-01-01 21:40:28,P02,0
UPU-152,2024-01-01 22:22:28,P03,0
CAX-650,2024-01-01 22:53:29,P04,0
UPU-152,2024-01-01 23:20:28,P07,0
CAX-650,2024-01-01 23:44:29,P07,0
CAX-650,2024-01-02 00:27:29,P09,0
CAX-650,2024-01-02 07:22:15,P04,0
CAX-650,2024-01-02 08:07:15,P05,0
CAX-650,2024-01-02 09:10:15,P06,0
CAX-650,2024-01-02 10:02:15,P08,0
YTJ-043,2024-01-02 10:49:15,P03,0
YTJ-043,2024-01-02 11:46:15,P09,0
YTJ-043,2024-01-02 12:22:15,P10,0
HXS-147,2024-01-02 13:03:35,P01,1
WMG-120,2024-01-02 13:05:29,P01,0
HXS-147,2024-01-02 13:38:35,P02,1
WMG-120,2024-01-02 13:49:29,P02,0
WMG-120,2024-01-02 14:26:29,P03,0
HXS-147,2024-01-02 14:28:35,P03,1
WMG-120,2024-01-02 15:18:29,P07,0
HYH-842,2024-01-02 15:29:17,P04,0
HXS-147,2024-01-02 15:31:35,P07,1
WMG-120,2024-01-02 15:49:40,P07,0
NJR-086,2024-01-02 16:05:56,P07,1
HYH-842,2024-01-02 16:08:17,P05,0
ESV-320,2024-01-02 16:08:55,P07,0
RYJ-300,2024-01-02 16:25:29,P07,0
KGJ-687,2024-01-02 16:33:49,P07,0
THC-204,2024-01-02 16:35:11,P07,0
WMG-120,2024-01-02 16:49:40,P08,0
ESV-320,2024-01-02 16:54:55,P08,0
HYH-842,2024-01-02 17:00:17,P06,0
LED-223,2024-01-02 17:02:25,P07,0
NJR-086,2024-01-02 17:08:56,P08,1
KGJ-687,2024-01-02 17:22:49,P08,0
RYJ-300,2024-01-02 17:24:29,P08,0
THC-204,2024-01-02 17:30:11,P08,0
HYH-842,2024-01-02 17:58:17,P08,0
LED-223,2024-01-02 18:01:25,P08,0
NVG-033,2024-01-03 04:05:58,P01,0
WCE-264,2024-01-03 04:34:41,P01,1
GCT-025,2024-01-03 04:43:35,P01,0
ETT-011,2024-01-03 04:56:38,P01,0
THC-204,2024-01-03 04:57:02,P01,0
NVG-033,2024-01-03 05:05:58,P02,0
WCE-264,2024-01-03 05:30:41,P02,1
GCT-025,2024-01-03 05:32:35,P02,0
ETT-011,2024-01-03 05:57:38,P02,0
THC-204,2024-01-03 05:59:02,P02,0
NVG-033,2024-01-03 06:09:58,P03,0
WCE-264,2024-01-03 06:27:41,P03,1
GCT-025,2024-01-03 06:31:35,P03,0
NVG-033,2024-01-03 06:47:58,P07,0
ETT-011,2024-01-03 06:48:38,P03,0
THC-204,2024-01-03 06:52:02,P03,0
WCE-264,2024-01-03 07:06:41,P07,1
GCT-025,2024-01-03 07:28:35,P07,0
ETT-011,2024-01-03 07:31:38,P07,0
THC-204,2024-01-03 07:55:02,P07,0
JAM-772,2024-01-03 11:51:32,P07,1
JAM-772,2024-01-03 12:26:32,P08,1
JCW-895,2024-01-03 18:33:28,P04,0
JCW-895,2024-01-03 19:27:28,P07,0
JCW-895,2024-01-03 20:19:28,P09,0
UGH-086,2024-01-04 01:37:19,P04,0
UGH-086,2024-01-04 02:39:19,P05,0
UGH-086,2024-01-04 03:14:19,P06,0
UGH-086,2024-01-04 03:52:19,P08,0
XZJ-409,2024-01-04 05:33:35,P03,0
XZJ-409,2024-01-04 06:18:35,P09,0
BFU-112,2024-01-04 06:22:20,P03,0
XZJ-409,2024-01-04 06:57:35,P10,0
BFU-112,2024-01-04 07:23:20,P09,0
JTJ-756,2024-01-04 07:53:55,P01,0
BFU-112,2024-01-04 08:04:20,P10,0
TMP-452,2024-01-04 08:14:19,P07,0
JTJ-756,2024-01-04 08:50:55,P02,0
TMP-452,2024-01-04 09:10:19,P08,0
JTJ-756,2024-01-04 09:54:55,P03,0
CVA-712,2024-01-04 10:39:02,P04,0
JTJ-756,2024-01-04 10:39:55,P07,0
JTJ-756,2024-01-04 11:18:55,P08,0
CVA-712,2024-01-04 11:39:02,P05,0
JTJ-756,2024-01-04 12:14:55,P05,0
CVA-712,2024-01-04 12:15:02,P06,0
JTJ-756,2024-01-04 13:14:55,P06,0
CVA-712,2024-01-04 13:19:02,P08,0
GCT-025,2024-01-04 13:43:43,P03,0
GCT-025,2024-01-04 14:29:43,P09,0
ELD-205,2024-01-04 14:29:45,P01,0
GCT-025,2024-01-04 15:11:43,P10,0
ELD-205,2024-01-04 15:19:45,P02,0
ELD-205,2024-01-04 15:57:45,P03,0
ELD-205,2024-01-04 16:59:45,P07,0
ELD-205,2024-01-04 17:55:45,P08,0
ELD-205,2024-01-04 18:58:45,P05,0
CZT-979,2024-01-04 19:20:21,P01,0
ELD-205,2024-01-04 19:47:45,P06,0
CZT-979,2024-01-04 19:58:21,P02,0
CZT-979,2024-01-04 21:00:21,P03,0
CZT-979,2024-01-04 21:35:21,P07,0
JTJ-756,2024-01-05 17:19:34,P04,0
JTJ-756,2024-01-05 18:14:34,P07,0
JTJ-756,2024-01-05 18:59:34,P09,0
EHK-098,2024-01-05 20:54:48,P01,0
EHK-098,2024-01-05 21:46:48,P02,0
YAW-073,2024-01-05 21:50:26,P03,0
YAW-073,2024-01-05 22:32:26,P09,0
XYX-556,2024-01-05 22:40:44,P07,0
EHK-098,2024-01-05 22:50:48,P03,0
XYX-556,2024-01-05 23:20:44,P08,0
YAW-073,2024-01-05 23:22:26,P10,0
EHK-098,2024-01-05 23:37:48,P07,0
EHK-098,2024-01-06 00:22:48,P08,0
EHK-098,2024-01-06 01:10:48,P05,0
EHK-098,2024-01-06 02:12:48,P06,0
XMM-463,2024-01-06 05:15:30,P07,0
XMM-463,2024-01-06 06:14:30,P08,0
KGA-642,2024-01-06 07:26:59,P03,0
KGA-642,2024-01-06 08:29:59,P09,0
YPE-034,2024-01-06 08:36:41,P04,0
YPE-034,2024-01-06 09:16:41,P07,0
KGA-642,2024-01-06 09:29:59,P10,0
YPE-034,2024-01-06 10:13:41,P09,0
NND-007,2024-01-06 14:17:22,P03,0
VER-819,2024-01-06 14:17:35,P07,0
NND-007,2024-01-06 14:55:22,P09,0
